,order_id,customer_id,order_date,shipping_city,shipping_state,shipping_region,shipping_country,shipping_postal_code,shipping_date,shipping_mode,customer_name,customer_segment,order_details_id,quantity,order_discount,order_profits,order_profit_ratio,order_sales,product_id,product_name,product_category,product_subcategory,product_manufacturer
0,CA-2015-100004,91,2015-09-06,New York City,New York,East,United States,10011.0,2015-09-06,Same Day,Bill Shonely,Corporate,1,62,0.1,327.0,0.39,837,122,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other
1,CA-2015-100004,91,2015-09-06,New York City,New York,East,United States,10011.0,2015-09-06,Same Day,Bill Shonely,Corporate,2,18,0.2,565.0,0.26,2174,764,"Global Manager's Adjustable Task Chair, Storm",Furniture,Chairs,Global
2,CA-2015-100006,224,2015-09-07,New York City,New York,East,United States,10024.0,2015-09-13,Standard Class,Dennis Kane,Consumer,3,3,0.0,110.0,0.29,378,161,AT&T EL51110 DECT,Technology,Phones,AT&T
3,CA-2015-100032,62,2015-09-07,New York City,New York,East,United States,10025.0,2015-09-13,Standard Class,Arthur Wiediger,Home Office,4,53,0.1,272.0,0.38,715,122,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other
4,CA-2015-100032,62,2015-09-07,New York City,New York,East,United States,10025.0,2015-09-13,Standard Class,Arthur Wiediger,Home Office,5,23,0.1,96.0,0.31,311,1342,Recycled Premium Regency Composition Covers,Office Supplies,Binders,Other
5,CA-2015-100032,62,2015-09-07,New York City,New York,East,United States,10025.0,2015-09-13,Standard Class,Arthur Wiediger,Home Office,6,16,0.1,407.0,0.27,1506,613,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Office Supplies,Appliances,Eureka
6,CA-2015-100051,311,2015-09-06,New York City,New York,East,United States,10011.0,2015-09-12,Standard Class,Greg Matthias,Consumer,7,79,0.2,318.0,0.35,909,812,Holmes Odor Grabber,Office Supplies,Appliances,Holmes
7,CA-2015-100090,246,2015-07-08,San Francisco,California,West,United States,94122.0,2015-07-12,Standard Class,Ed Braxton,Corporate,8,6,0.2,69.0,0.35,197,1648,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders,Wilson Jones
8,CA-2015-100090,246,2015-07-08,San Francisco,California,West,United States,94122.0,2015-07-12,Standard Class,Ed Braxton,Corporate,9,3,0.2,-88.0,-0.18,502,819,Hon 2111 Invitation Series Corner Table,Furniture,Tables,Hon
9,CA-2015-100136,388,2015-09-05,New York City,New York,East,United States,10011.0,2015-09-11,Standard Class,John Lee,Consumer,10,130,0.3,1399.0,0.41,3413,920,Imation Clip USB flash drive - 8 GB,Technology,Accessories,Imation
10,CA-2015-100136,388,2015-09-05,New York City,New York,East,United States,10011.0,2015-09-11,Standard Class,John Lee,Consumer,11,94,0.1,64.0,0.21,305,1216,OIC Binder Clips,Office Supplies,Fasteners,Other
11,CA-2015-100136,388,2015-09-05,New York City,New York,East,United States,10011.0,2015-09-11,Standard Class,John Lee,Consumer,12,143,0.1,734.0,0.38,1931,122,Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,Other
12,CA-2015-100136,388,2015-09-05,New York City,New York,East,United States,10011.0,2015-09-11,Standard Class,John Lee,Consumer,13,324,0.2,114.0,0.22,518,1507,Staples,Office Supplies,Fasteners,Other
13,CA-2015-100136,388,2015-09-05,New York City,New York,East,United States,10011.0,2015-09-11,Standard Class,John Lee,Consumer,14,216,0.1,264.0,0.34,778,1600,Unpadded Memo Slips,Office Supplies,Paper,Other
14,CA-2015-100293,564,2015-03-14,Jacksonville,Florida,South,United States,32216.0,2015-03-18,Standard Class,Neil Französisch,Home Office,15,6,0.2,32.0,0.35,91,1677,Xerox 1887,Office Supplies,Paper,Xerox
15,CA-2015-100328,355,2015-01-28,New York City,New York,East,United States,10024.0,2015-02-03,Standard Class,Jasper Cacioppo,Consumer,16,1,0.2,1.0,0.34,4,1313,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,Pressboard
16,CA-2015-100363,376,2015-04-08,Glendale,Arizona,West,United States,85301.0,2015-04-15,Standard Class,Jim Mitchum,Corporate,17,2,0.2,1.0,0.35,2,326,Binder Clips by OIC,Office Supplies,Fasteners,OIC
17,CA-2015-100363,376,2015-04-08,Glendale,Arizona,West,United States,85301.0,2015-04-15,Standard Class,Jim Mitchum,Corporate,18,3,0.2,7.0,0.36,19,1568,Things To Do Today Spiral Book,Office Supplies,Paper,Things To Do
18,CA-2015-100391,71,2015-05-25,New York City,New York,East,United States,10035.0,2015-05-29,Standard Class,Barry Weirich,Consumer,19,2,0.0,7.0,0.46,15,1523,Strathmore Photo Frame Cards,Office Supplies,Paper,Strathmore
19,CA-2015-100678,447,2015-04-18,Houston,Texas,Central,United States,77095.0,2015-04-22,Standard Class,Kunst Miller,Consumer,20,2,0.2,1.0,0.38,3,1306,Prang Dustless Chalk Sticks,Office Supplies,Art,Prang
